ID,VIDEO,LABEL
1,D0001B.mp4,địa chỉ
2,D0001T.mp4,địa chỉ
3,D0001N.mp4,địa chỉ
4,D0002.mp4,tỉnh
5,D0003.mp4,tiếp tân
6,D0004.mp4,nhân viên
7,D0005T.mp4,Miến Điện (nước Mi-an-ma)
8,D0005B.mp4,Miến Điện (nước Mi-an-ma)
9,D0006.mp4,Ma Cao
10,D0005N.mp4,Miến Điện (nước Mi-an-ma)
11,D0007.mp4,Do Thái
12,D0009.mp4,phương Tây
13,D0008.mp4,Ả Rập (nước Ả Rập)
14,D0010.mp4,phương Đông
15,D0011.mp4,Đu Bai (nước Đu Bai)
16,D0012.mp4,Albania (nước Albania)
17,D0013.mp4,người nước ngoài
18,D0014.mp4,nhập khẩu
19,D0015.mp4,Tuy Hoà
20,D0016.mp4,Quy Nhơn
21,D0017.mp4,hấp dẫn
22,D0019B.mp4,ghen tị
23,D0018.mp4,nổi da gà
24,D0019T.mp4,ghen tị
25,D0020B.mp4,lung tung
26,D0019N.mp4,ghen tị
27,D0020N.mp4,lung tung
28,D0021.mp4,hói đầu
29,D0020T.mp4,lung tung
30,D0022.mp4,cười nhếch mép
31,D0023.mp4,cười vỡ bụng
32,D0024B.mp4,tham ăn
33,D0024N.mp4,tham ăn
34,D0024T.mp4,tham ăn
35,D0026.mp4,thèm
36,D0027.mp4,thèm rỏ dãi
37,D0028.mp4,đứng đầu (hàng đầu)
38,D0029N.mp4,thói quen
39,D0029T.mp4,thói quen
40,D0029B.mp4,thói quen
41,D0030.mp4,khuyến khích
42,D0031N.mp4,không nghe lời
43,D0031B.mp4,không nghe lời
44,D0031T.mp4,không nghe lời
45,D0032.mp4,ai cho
46,D0033B.mp4,không cho
47,D0034.mp4,không cần
48,D0033N.mp4,không cho
49,D0033T.mp4,không cho
50,D0035B.mp4,không nên
51,D0035N.mp4,không nên
52,D0035T.mp4,không nên
53,D0036.mp4,bực mình
54,D0037.mp4,tự giác
55,D0038.mp4,mù chữ
56,D0039.mp4,vô tình
57,D0040B.mp4,Tết hàn thực
58,D0040N.mp4,Tết hàn thực
59,D0040T.mp4,Tết hàn thực
60,D0041.mp4,giỗ
61,D0042B.mp4,ngày Quốc tế phụ nữ 8/3
62,D0042N.mp4,ngày Quốc tế phụ nữ 8/3
63,D0042T.mp4,ngày Quốc tế phụ nữ 8/3
64,D0043N.mp4,ngày giải phóng thủ đô 10/10
65,D0043B.mp4,ngày giải phóng thủ đô 10/10
66,D0043T.mp4,ngày giải phóng thủ đô 10/10
67,D0044B.mp4,ngày Giải phóng miền Nam 30/4
68,D0044N.mp4,ngày Giải phóng miền Nam 30/4
69,D0044T.mp4,ngày Giải phóng miền Nam 30/4
70,D0045B.mp4,ngày Người khuyết tật Việt Nam 18/4
71,D0045N.mp4,ngày Người khuyết tật Việt Nam 18/4
72,D0045T.mp4,ngày Người khuyết tật Việt Nam 18/4
73,D0046B.mp4,ngày Người khuyết tật Thế giới 3/12
74,D0046N.mp4,ngày Người khuyết tật Thế giới 3/12
75,D0046T.mp4,ngày Người khuyết tật Thế giới 3/12
76,D0048B.mp4,lễ Halloween 31/10
77,D0048N.mp4,lễ Halloween 31/10
78,D0048T.mp4,lễ Halloween 31/10
79,D0049B.mp4,ngày Phụ nữ Việt Nam 20/10
80,D0049N.mp4,ngày Phụ nữ Việt Nam 20/10
81,D0049T.mp4,ngày Phụ nữ Việt Nam 20/10
82,D0050B.mp4,ngày thương bình liệt sĩ 27/7
83,D0050N.mp4,ngày thương bình liệt sĩ 27/7
84,D0050T.mp4,ngày thương bình liệt sĩ 27/7
85,D0051N.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
86,D0051B.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
87,D0051T.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
88,D0052N.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
89,D0052B.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
90,D0052T.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
91,D0053B.mp4,tuần lễ người Điếc thế giới
92,D0053N.mp4,tuần lễ người Điếc thế giới
93,D0053T.mp4,tuần lễ người Điếc thế giới
94,D0054B.mp4,ngày của Mẹ
95,D0054T.mp4,ngày của Mẹ
96,D0054N.mp4,ngày của Mẹ
97,D0055B.mp4,ngày của Cha
98,D0055N.mp4,ngày của Cha
99,D0055T.mp4,ngày của Cha
100,D0056B.mp4,ngày gia đình Việt Nam 28/6
101,D0056N.mp4,ngày gia đình Việt Nam 28/6
102,D0056T.mp4,ngày gia đình Việt Nam 28/6
103,D0057B.mp4,ngày thầy thuốc Việt Nam
104,D0057N.mp4,ngày thầy thuốc Việt Nam
105,D0057T.mp4,ngày thầy thuốc Việt Nam
106,D0058B.mp4,ngày thành lập quân đội nhân dân Việt Nam
107,D0058N.mp4,ngày thành lập quân đội nhân dân Việt Nam
108,D0059.mp4,con cá sấu
109,D0058T.mp4,ngày thành lập quân đội nhân dân Việt Nam
110,D0060B.mp4,nhầm
111,D0060N.mp4,nhầm
112,D0060T.mp4,nhầm
113,D0061.mp4,đồng bằng sông Cửu Long
114,D0062.mp4,đồng bằng sông Hồng
115,D0063.mp4,đồng bằng duyên hải miền Trung
116,D0064.mp4,buồn thảm
117,D0065B.mp4,mách
118,D0065N.mp4,mách
119,D0065T.mp4,mách
120,D0066B.mp4,vô duyên
121,D0066N.mp4,vô duyên
122,D0066T.mp4,vô duyên
123,D0067.mp4,ti hí mắt
124,D0070.mp4,hú vía
125,D0068.mp4,kịp thời
126,D0069.mp4,bối rối
