VIDEO,LABEL
D0001B.mp4,địa chỉ
D0001T.mp4,địa chỉ
D0001N.mp4,địa chỉ
D0002.mp4,tỉnh
D0003.mp4,tiếp tân
D0004.mp4,nhân viên
D0005T.mp4,Miến Điện (nước Mi-an-ma)
D0005B.mp4,Miến Điện (nước Mi-an-ma)
D0006.mp4,Ma Cao
D0005N.mp4,Miến Điện (nước Mi-an-ma)
D0007.mp4,Do Thái
D0009.mp4,phương Tây
D0008.mp4,Ả Rập (nước Ả Rập)
D0010.mp4,phương Đông
D0011.mp4,Đu Bai (nước Đu Bai)
D0012.mp4,Albania (nước Albania)
D0013.mp4,người nước ngoài
D0014.mp4,nhập khẩu
D0015.mp4,Tuy Hoà
D0016.mp4,Quy Nhơn
D0017.mp4,hấp dẫn
D0019B.mp4,ghen tị
D0018.mp4,nổi da gà
D0019T.mp4,ghen tị
D0020B.mp4,lung tung
D0019N.mp4,ghen tị
D0020N.mp4,lung tung
D0021.mp4,hói đầu
D0020T.mp4,lung tung
D0022.mp4,cười nhếch mép
D0023.mp4,cười vỡ bụng
D0024B.mp4,tham ăn
D0024N.mp4,tham ăn
D0024T.mp4,tham ăn
D0026.mp4,thèm
D0027.mp4,thèm rỏ dãi
D0028.mp4,đứng đầu (hàng đầu)
D0029N.mp4,thói quen
D0029T.mp4,thói quen
D0029B.mp4,thói quen
D0030.mp4,khuyến khích
D0031N.mp4,không nghe lời
D0031B.mp4,không nghe lời
D0031T.mp4,không nghe lời
D0032.mp4,ai cho
D0033B.mp4,không cho
D0034.mp4,không cần
D0033N.mp4,không cho
D0033T.mp4,không cho
D0035B.mp4,không nên
D0035N.mp4,không nên
D0035T.mp4,không nên
D0036.mp4,bực mình
D0037.mp4,tự giác
D0038.mp4,mù chữ
D0039.mp4,vô tình
D0040B.mp4,Tết hàn thực
D0040N.mp4,Tết hàn thực
D0040T.mp4,Tết hàn thực
D0041.mp4,giỗ
D0042B.mp4,ngày Quốc tế phụ nữ 8/3
D0042N.mp4,ngày Quốc tế phụ nữ 8/3
D0042T.mp4,ngày Quốc tế phụ nữ 8/3
D0043N.mp4,ngày giải phóng thủ đô 10/10
D0043B.mp4,ngày giải phóng thủ đô 10/10
D0043T.mp4,ngày giải phóng thủ đô 10/10
D0044B.mp4,ngày Giải phóng miền Nam 30/4
D0044N.mp4,ngày Giải phóng miền Nam 30/4
D0044T.mp4,ngày Giải phóng miền Nam 30/4
D0045B.mp4,ngày Người khuyết tật Việt Nam 18/4
D0045N.mp4,ngày Người khuyết tật Việt Nam 18/4
